ANTALL,STATUS_KODE,REGISTRERT
2,AVVIST,2019-09-17
1948,MANUELL BEHANDLING,2019-08-07
70,MANUELL BEHANDLING,2018-08-26
205,OK,2018-04-15
2100,MANUELL BEHANDLING,2018-06-08
240,OK,2018-10-28
54,MANUELL BEHANDLING,2018-10-27
37,AVVIST,2019-09-04
43,MANUELL BEHANDLING,2019-07-20
199,OK,2018-06-10
55,AVVIST,2019-08-20
1910,MANUELL BEHANDLING,2019-08-08
410,OK,2018-05-01
48,AVVIST,2018-05-03
224,OK,2019-02-02
74,MANUELL BEHANDLING,2019-02-02
123,OK,2018-09-22
42,AVVIST,2019-09-05
81,OK,2019-09-07
33,AVVIST,2018-04-13
1,AVVIST,2018-03-31
1938,MANUELL BEHANDLING,2019-08-09
69,AVVIST,2019-03-07
177,OK,2019-04-14
2,AVVIST,2018-06-09
6,OK,2019-11-04
1,AVVIST,2018-09-15
286,OK,2018-08-12
1,AVVIST,2018-04-29
166,OK,2018-10-06
44,MANUELL BEHANDLING,2018-07-28
35,AVVIST,2019-07-09
28,AVVIST,2019-08-09
2,MANUELL BEHANDLING,2018-08-11
184,OK,2018-09-29
23,MANUELL BEHANDLING,2019-09-07
52,AVVIST,2019-08-05
2,AVVIST,2019-02-23
1,AVVIST,2019-07-13
11,AVVIST,2019-04-17
43,AVVIST,2019-08-02
7,AVVIST,2019-09-12
1,AVVIST,2018-03-04
50,AVVIST,2019-05-31
2,OK,2019-11-26
1,AVVIST,2018-09-30
1,AVVIST,2018-11-18
2,AVVIST,2018-01-06
4,AVVIST,2018-12-01
3,AVVIST,2018-11-11
1,OK,2019-11-12
1,AVVIST,2018-08-05
1,AVVIST,2018-07-15
1,OK,2019-10-07
3485,MANUELL BEHANDLING,2019-01-08
4015,MANUELL BEHANDLING,2019-01-04
15221,OK,2018-02-28
3406,MANUELL BEHANDLING,2018-02-13
2587,MANUELL BEHANDLING,2018-03-16
63,AVVIST,2018-03-20
16253,OK,2018-04-09
31,MANUELL BEHANDLING,2018-03-29
3051,OK,2018-03-28
2308,MANUELL BEHANDLING,2018-06-25
2960,MANUELL BEHANDLING,2018-06-04
2309,MANUELL BEHANDLING,2018-06-19
2156,MANUELL BEHANDLING,2018-06-22
8394,OK,2018-10-10
90,AVVIST,2018-04-03
114,MANUELL BEHANDLING,2018-04-08
49,AVVIST,2018-03-09
10828,OK,2018-03-13
2686,MANUELL BEHANDLING,2019-01-16
116,MANUELL BEHANDLING,2019-01-20
10920,OK,2019-01-09
3010,MANUELL BEHANDLING,2019-01-09
42,AVVIST,2019-01-15
